timeStamp,userID,targetApp,eventType,url,content,target.workbookName,target.sheetName,target.id,target.class,target.tagName,target.type,target.name,target.value,target.innerText,target.checked,target.href,target.option
2019-06-07T03:03:01.109Z,vleno,Excel,getCell,,,StudentRecords.xlsx,Sheet1,A2,,,,,John Doe,,,,
2019-06-07T03:03:01.157Z,,OS-Clipboard,copy,,John Doe,,,,,,,,,,,,
2019-06-07T03:03:05.087Z,vleno,Chrome,clickTextField,,,,,,,INPUT,text,Name_First,,,,,
2019-06-07T03:03:06.032Z,vleno,Chrome,paste,,John Doe,,,,,INPUT,text,Name_First,,,,,
2019-06-07T03:03:08.072Z,vleno,Chrome,editField,,,,,,,INPUT,text,Name_First,John,,,,
2019-06-07T03:03:08.167Z,vleno,Chrome,clickTextField,,,,,,,INPUT,text,Name_Last,,,,,
2019-06-07T03:03:08.679Z,vleno,Chrome,paste,,John Doe,,,,,INPUT,text,Name_Last,,,,,
2019-06-07T03:03:11.352Z,vleno,Chrome,editField,,,,,,,INPUT,text,Name_Last,Doe,,,,
2019-06-07T03:03:15.621Z,vleno,Excel,getCell,,,StudentRecords.xlsx,Sheet1,B2,,,,,11/03/1986,,,,
2019-06-07T03:03:15.731Z,,OS-Clipboard,copy,,11/03/1986,,,,,,,,,,,,
2019-06-07T03:03:17.505Z,vleno,Chrome,clickTextField,,,,,Date-date,,INPUT,text,date,,,,,
2019-06-07T03:03:18.327Z,vleno,Chrome,paste,,11/03/1986,,,Date-date,,INPUT,text,date,,,,,
2019-06-07T03:03:19.175Z,vleno,Chrome,editField,,,,,Date-date,,INPUT,text,date,11/03/1986,,,,
2019-06-07T03:03:23.909Z,vleno,Excel,getCell,,,StudentRecords.xlsx,Sheet1,C2,,,,,+61 039 689 9324,,,,
2019-06-07T03:03:23.961Z,,OS-Clipboard,copy,,+61 039 689 9324,,,,,,,,,,,,
2019-06-07T03:03:25.927Z,vleno,Chrome,clickTextField,,,,,PhoneNumber,,INPUT,text,countrycode,,,,,
2019-06-07T03:03:26.391Z,vleno,Chrome,paste,,+61 039 689 9324,,,PhoneNumber,,INPUT,text,countrycode,,,,,
2019-06-07T03:03:33.080Z,vleno,Chrome,editField,,,,,PhoneNumber,,INPUT,text,countrycode,039-689-9324,,,,
2019-06-07T03:03:36.064Z,vleno,Excel,getCell,,,StudentRecords.xlsx,Sheet1,D2,,,,,jdoe@gmail.com,,,,
2019-06-07T03:03:36.188Z,,OS-Clipboard,copy,,jdoe@gmail.com,,,,,,,,,,,,
2019-06-07T03:03:40.343Z,vleno,Chrome,clickTextField,,,,,,,INPUT,text,Email,,,,,
2019-06-07T03:03:40.823Z,vleno,Chrome,paste,,jdoe@gmail.com,,,,,INPUT,text,Email,,,,,
2019-06-07T03:03:42.600Z,vleno,Chrome,editField,,,,,,,INPUT,text,Email,jdoe@gmail.com,,,,
2019-06-07T03:03:45.848Z,vleno,Chrome,link,https://forms.zohopublic.com/universityofmelbourne/form/NewRecord1/thankyou/formperma/_uVBPlPKIv3WaPxEhKgZqY8QVVtfemeb5ayX730NybY,,,,,,,,,,,,,
"2019-06-07T03:28:49.853Z","vleno","Chrome","clickButton",,,,,,,"BUTTON","submit",,"submit","Submit",,,
"2019-06-07T03:28:51.333Z","vleno","Chrome","link","https://forms.zohopublic.com/universityofmelbourne/form/NewRecord1/thankyou/formperma/_uVBPlPKIv3WaPxEhKgZqY8QVVtfemeb5ayX730NybY",,,,,,,,,,,,,
